revelation_ref,canonical_source_refs,initial_relation,review_status,notes
Revelation 20:6,Exodus 19:6; Isaiah 26:19; Isaiah 61:6,candidate-reuse,awaiting-original-language-verification,
Revelation 20:8,"Ezekiel 38:2; Ezekiel 39:1,6",candidate-reuse,awaiting-original-language-verification,
Revelation 20:9,Deuteronomy 23:14; 2 Kings 1:9-12; Ezekiel 38:22; Ezekiel 39:6,candidate-reuse,awaiting-original-language-verification,
Revelation 20:10,Genesis 19:24; Psalm 11:6; Isaiah 30:33; Ezekiel 38:22,candidate-reuse,awaiting-original-language-verification,
Revelation 20:11,Psalm 114:3-7; Daniel 2:35,candidate-reuse,awaiting-original-language-verification,
Revelation 20:12,Exodus 32:32-33; Psalm 62:12; Psalm 69:28; Daniel 7:9-10,candidate-reuse,awaiting-original-language-verification,
Revelation 20:13,Psalm 28:4; Psalm 62:12; Proverbs 24:12; Isaiah 59:18; Jeremiah 17:10,candidate-reuse,awaiting-original-language-verification,
Revelation 20:15,Exodus 32:32-33; Daniel 12:1,candidate-reuse,awaiting-original-language-verification,
Revelation 21:1,Isaiah 65:17; Isaiah 66:22,candidate-reuse,awaiting-original-language-verification,
Revelation 21:2,Isaiah 52:1; Isaiah 61:10,candidate-reuse,awaiting-original-language-verification,
Revelation 21:3,Leviticus 26:11-12; 1 Chronicles 6:18; Ezekiel 37:27; Zechariah 2:10,candidate-reuse,awaiting-original-language-verification,
Revelation 21:4,Isaiah 25:8; Isaiah 35:10; Isaiah 51:11; Isaiah 65:19,candidate-reuse,awaiting-original-language-verification,
Revelation 21:6,Psalm 36:9; Isaiah 44:6; Isaiah 48:12; Isaiah 55:1; Jeremiah 2:13,candidate-reuse,awaiting-original-language-verification,
Revelation 21:9,Leviticus 26:21,candidate-reuse,awaiting-original-language-verification,
Revelation 21:10,Ezekiel 40:2,candidate-reuse,awaiting-original-language-verification,
Revelation 21:11,"Isaiah 60:1-2,19; Ezekiel 43:2",candidate-reuse,awaiting-original-language-verification,
Revelation 21:12-13,Ezekiel 48:30-35,candidate-reuse,awaiting-original-language-verification,
Revelation 21:15,"Ezekiel 40:3,5",candidate-reuse,awaiting-original-language-verification,
Revelation 21:16-17,Ezekiel 40:3-5; Ezekiel 48:16,candidate-reuse,awaiting-original-language-verification,
Revelation 21:19-20,Exodus 28:17-21; Exodus 39:10-14; Isaiah 54:11-12,candidate-reuse,awaiting-original-language-verification,
Revelation 21:23,Isaiah 60:19-20,candidate-reuse,awaiting-original-language-verification,
Revelation 21:24,Psalm 72:10-11; Isaiah 60:3-5,16,candidate-reuse,awaiting-original-language-verification,
Revelation 21:25,Isaiah 60:11,19-20; Zechariah 14:7,candidate-reuse,awaiting-original-language-verification,
Revelation 21:26,"Isaiah 60:5,16",candidate-reuse,awaiting-original-language-verification,
Revelation 21:27,Isaiah 52:1; Ezekiel 44:9; Zechariah 14:21,candidate-reuse,awaiting-original-language-verification,
Revelation 22:1,Psalm 46:4; Ezekiel 47:1; Joel 3:18; Zechariah 14:8,candidate-reuse,awaiting-original-language-verification,
Revelation 22:2,Genesis 2:9; Genesis 3:22-24; Ezekiel 47:12,candidate-reuse,awaiting-original-language-verification,
Revelation 22:3,Genesis 3:17-19; Zechariah 14:11,candidate-reuse,awaiting-original-language-verification,
Revelation 22:4,Psalm 17:15; Psalm 42:2; Ezekiel 9:4,candidate-reuse,awaiting-original-language-verification,
Revelation 22:5,"Isaiah 60:19; Daniel 7:18,22,27; Zechariah 14:7",candidate-reuse,awaiting-original-language-verification,
Revelation 22:10,"Daniel 8:26; Daniel 12:4,9",candidate-reuse,awaiting-original-language-verification,
Revelation 22:11,Ezekiel 3:27; Daniel 12:10,candidate-reuse,awaiting-original-language-verification,
Revelation 22:12,Psalm 28:4; Psalm 62:12; Proverbs 24:12; Isaiah 40:10; Isaiah 59:18; Isaiah 62:11; Jeremiah 17:10,candidate-reuse,awaiting-original-language-verification,
Revelation 22:13,Isaiah 44:6; Isaiah 48:12,candidate-reuse,awaiting-original-language-verification,
Revelation 22:14,Genesis 2:9; Genesis 3:22-24; Proverbs 11:30,candidate-reuse,awaiting-original-language-verification,
Revelation 22:15,Deuteronomy 23:18,candidate-reuse,awaiting-original-language-verification,
Revelation 22:16,"Numbers 24:17; Isaiah 11:1,10",candidate-reuse,awaiting-original-language-verification,
Revelation 22:18-19,Deuteronomy 4:2; Deuteronomy 12:32; Deuteronomy 29:19-20,candidate-reuse,awaiting-original-language-verification,
